seqName,samplingDate,days_since_tmrca,PC1,PC2,PC3,PC4,PC5,PC6,PC7,displacement_2pc,displacement_npc
hCoV-19/mink/USA/WI/MP03N-249/2022-08-28,2022-08-28,91,-1.4365487825619718,0.11532278522013593,-0.9215898181180988,-1.5870771017958887,0.40725379310776483,-0.8512085120357379,-0.06517921994997256,2.365881837815767,3.251444491404854
hCoV-19/mink/USA/WI/MP04N-002/2022-08-31,2022-08-31,94,-2.434611142762493,0.864274257343693,0.48991993334082334,0.35526440452298635,-0.6435336083702146,0.4237331926530832,-0.1043900833953359,3.470751226151007,3.5840249063359786
hCoV-19/mink/USA/WI/MP04N-008/2022-08-31,2022-08-31,94,-1.4842830295842688,-0.3258406955594248,-0.56950059161939,-0.15571010824670922,-0.4666134473353509,0.1346426984741037,-1.0546913958278366,2.4324719618415576,2.8158989768037186
hCoV-19/mink/USA/WI/MP04N-011/2022-08-31,2022-08-31,94,-1.8189710712078258,-0.12138755166725936,-0.8159104379830122,0.16152999364239629,-0.8736723938653133,0.24549653767566332,-1.3461241547205203,2.7480453601702988,3.3444435945007616
hCoV-19/mink/USA/WI/MP04N-019/2022-08-31,2022-08-31,94,-2.273887150076796,-0.30603119421640984,-0.2627190072678279,0.1464216661291458,-0.08608005163411435,0.2665648091341528,0.7083066446850059,3.2148073290200903,3.3249237107755163
hCoV-19/mink/USA/WI/MP04N-029/2022-08-31,2022-08-31,94,-1.8322500426573223,-0.5394926465294236,-0.6933265918215499,1.0739467149807809,-1.2938609899804903,0.3317451457237377,0.05058017211775163,2.810694401257428,3.350437795400151
hCoV-19/mink/USA/WI/MP04N-032/2022-08-31,2022-08-31,94,0.1096418816818314,-0.4432835862733696,0.032294690403420576,-0.43194415895202093,0.48769440816599147,-0.5903937759472326,1.1018342310143179,0.9286850280540401,1.7042000368561385
hCoV-19/mink/USA/WI/MP04N-036/2022-08-31,2022-08-31,94,-0.9313275761417774,-0.0015184487184011115,-1.2299615533283017,0.3251696988274809,-1.1055871765715783,0.6489008550346589,-1.2162089558412306,1.857780393786401,2.9301683981248234
hCoV-19/mink/USA/WI/MP04N-039/2022-08-31,2022-08-31,94,-2.603453248282757,-0.36030404615281203,-0.29365586295857504,0.5771591913182419,-0.49656068151495575,0.3396814792681433,0.3544676792752201,3.5481066553382865,3.6664785738470624
hCoV-19/mink/USA/WI/MP04N-042/2022-08-31,2022-08-31,94,-2.148165471043596,-0.8340844065825217,-0.16175483601858875,-0.5146383966407702,0.11374799145824932,0.09117140286188519,-0.8866607935768143,3.1853835837193545,3.399597262973785
hCoV-19/mink/USA/WI/MP04N-043/2022-08-31,2022-08-31,94,-1.0649698338475884,-0.22764882673173586,-0.6437087310933862,-0.00848716016163227,-0.577456704424955,0.5221672984250239,-1.2471619922690824,2.0042355663893896,2.6324241689819976
hCoV-19/mink/USA/WI/MP04N-050/2022-08-31,2022-08-31,94,-1.0481623909820317,-0.2921323609599972,-0.5623672898917862,-1.2811736431374858,0.3549764722292981,-0.6035988492789824,-0.25965020417983015,1.995905851330897,2.655875656345846
hCoV-19/mink/USA/WI/MP04N-052/2022-08-31,2022-08-31,94,-1.0493967363617513,-0.559449730042541,-0.3331005794517829,-1.1787194960211054,0.37368960274071766,-0.6539618289989254,-0.2769966547871795,2.0531486749713155,2.611023600496207
hCoV-19/mink/USA/WI/MP04N-054/2022-08-31,2022-08-31,94,-1.3530676119841343,-0.5703799542578203,-0.4607514171417824,-0.130125095908125,-0.5704514778243155,-0.11250147261349258,-1.1330440074653068,2.349461737898796,2.761924329972286
hCoV-19/mink/USA/WI/MP04N-056/2022-08-31,2022-08-31,94,-2.6329431666064944,-0.6240005846191787,-0.06367197585505907,0.7115384054771555,-0.4936702834445483,0.30738474151669215,0.3486023983780963,3.6134404533469593,3.723952302728338
hCoV-19/mink/USA/WI/MP04N-063/2022-08-31,2022-08-31,94,-2.9214556237446483,-0.4126725874949546,-0.3235072149408749,0.9927831191322818,-0.8926384822771707,0.4102326522044499,0.013044116160514437,3.869826629221561,4.108441971773232
hCoV-19/mink/USA/WI/MP04N-071/2022-08-31,2022-08-31,94,-2.4835590933023943,-0.8588487871076071,0.0341025952253709,0.7211799619931963,-0.595170905601403,0.06156917985847137,0.2465901227661889,3.5161666780832435,3.6187646134422193
